Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
7.03,0.972222,0.976956
7.04,0.972222,0.977280
7.05,0.972222,0.977862
7.06,0.972222,0.977258
7.07,0.972222,0.976941
7.08,0.972222,0.976078
7.09,0.972222,0.977021
7.10,0.972222,0.976904
7.11,0.972222,0.976239
7.12,0.972222,0.976076
7.13,0.972222,0.975476
7.14,0.972222,0.975093
7.15,0.972222,0.975216
7.16,0.972222,0.975089
7.17,0.972222,0.975788
7.18,0.972222,0.976044
7.19,0.972222,0.976954
7.20,0.972222,0.976573
7.21,0.972222,0.977003
7.22,0.972222,0.977378
7.23,0.972222,0.977706
7.24,0.972222,0.979033
7.25,0.972222,0.978446
7.26,0.972222,0.978348
7.27,0.972222,0.978928
7.28,0.972222,0.979139
7.29,0.972222,0.978265
7.30,0.972222,0.979570
7.31,0.972222,0.978915
7.32,0.972222,0.979809
7.33,0.972222,0.980556
7.34,0.972222,0.981585
7.35,0.972222,0.981835
7.36,0.972222,0.981844
7.37,0.972222,0.982962
7.38,0.972222,0.983518
7.39,0.972222,0.983597
7.40,0.972222,0.983687
7.41,0.972222,0.983587
7.42,0.972222,0.983354
7.43,0.972222,0.982914
7.44,0.972222,0.982557
7.45,0.972222,0.982153
7.46,0.972222,0.983252
7.47,0.972222,0.982136
7.48,0.972222,0.981788
7.49,0.972222,0.982509
7.50,0.972222,0.983226
7.51,0.972222,0.982348
7.52,0.972222,0.982204
7.53,0.972222,0.981637
7.54,0.972222,0.982560
7.55,0.972222,0.982119
7.56,0.972222,0.982145
7.57,0.972222,0.982381
7.58,0.972222,0.982839
7.59,0.972222,0.983972
7.60,0.972222,0.983224
7.61,0.972222,0.982797
7.62,0.972222,0.983145
7.63,0.972222,0.982646
7.64,0.972222,0.982000
7.65,0.972222,0.982241
7.66,0.972222,0.982407
7.67,0.972222,0.983306
7.68,0.972222,0.983884
7.69,0.972222,0.984292
7.70,0.972222,0.983184
7.71,0.972222,0.984418
7.72,0.972222,0.985277
7.73,0.972222,0.986100
7.74,0.972222,0.986866
7.75,0.972222,0.986818
7.76,0.972222,0.987008
7.77,0.972222,0.985986
7.78,0.972222,0.986319
7.79,0.972222,0.987342
7.80,0.972222,0.986773
7.81,0.972222,0.987341
7.82,0.972222,0.987108
7.83,0.972222,0.986941
7.84,0.972222,0.985943
7.85,0.972222,0.986997
7.86,0.972222,0.986608
7.87,0.972222,0.987217
7.88,0.972222,0.987253
7.89,0.972222,0.987292
7.90,0.972222,0.987092
7.91,0.972222,0.986807
7.92,0.972222,0.986967
7.93,0.972222,0.987197
7.94,0.972222,0.988462
7.95,0.972222,0.989721
7.96,0.972222,0.990158
7.97,0.972222,0.989627
7.98,0.972222,0.990517
7.99,0.972222,0.990741
8.00,0.972222,0.989924
8.01,0.972222,0.990104
8.02,0.972222,0.991136
8.03,0.972222,0.991027
8.04,0.972222,0.990902
8.05,0.972222,0.990745
8.06,0.972222,0.989588
8.07,0.972222,0.990610
8.08,0.972222,0.990595
8.09,0.972222,0.989645
8.10,0.972222,0.989882
8.11,0.972222,0.989519
8.12,0.972222,0.988713
8.13,0.972222,0.988600
8.14,0.972222,0.987711
8.15,0.972222,0.988260
8.16,0.972222,0.988378
8.17,0.972222,0.989229
8.18,0.972222,0.988844
8.19,0.972222,0.988304
8.20,0.972222,0.988766
8.21,0.972222,0.987809
8.22,0.972222,0.987593
8.23,0.972222,0.988185
8.24,0.972222,0.988160
8.25,0.972222,0.987599
8.26,0.972222,0.988915
8.27,0.972222,0.988405
8.28,0.972222,0.987805
8.29,0.972222,0.986885
8.30,0.972222,0.987725
8.31,0.972222,0.988689
8.32,0.972222,0.989100
8.33,0.972222,0.988238
8.34,0.972222,0.988729
8.35,0.972222,0.988376
8.36,0.972222,0.988794
8.37,0.972222,0.988790
8.38,0.972222,0.987812
8.39,0.972222,0.988840
8.40,0.972222,0.989090
8.41,0.972222,0.988809
8.42,0.972222,0.988838
8.43,0.972222,0.989622
8.44,0.972222,0.989591
8.45,0.972222,0.990760
8.46,0.972222,0.990827
8.47,0.972222,0.990881
8.48,0.972222,0.990802
8.49,0.972222,0.990573
8.50,0.972222,0.991539
8.51,0.972222,0.992129
8.52,0.972222,0.991574
8.53,0.972222,0.991546
8.54,0.972222,0.991610
8.55,0.972222,0.991432
8.56,0.972222,0.992290
8.57,0.972222,0.991887
8.58,0.972222,0.990918
8.59,0.972222,0.991517
8.60,0.972222,0.993166
8.61,0.972222,0.993321
8.62,0.972222,0.993530
8.63,0.972222,0.993285
8.64,0.972222,0.994060
8.65,0.972222,0.992651
8.66,0.972222,0.992733
8.67,0.972222,0.992124
8.68,0.972222,0.992496
8.69,0.972222,0.992542
8.70,0.972222,0.994031
8.71,0.972222,0.995532
8.72,0.972222,0.994061
8.73,0.972222,0.993629
8.74,0.972222,0.993513
8.75,0.972222,0.993359
8.76,0.972222,0.993205
8.77,0.972222,0.993682
8.78,0.972222,0.993422
8.79,0.972222,0.993051
8.80,0.972222,0.993030
8.81,0.972222,0.993360
8.82,0.972222,0.994423
8.83,0.972222,0.994721
8.84,0.972222,0.992943
8.85,0.972222,0.992494
8.86,0.972222,0.992185
8.87,0.972222,0.990381
8.88,0.972222,0.989876
8.89,0.972222,0.990293
8.90,0.972222,0.991059
8.91,0.972222,0.991507
8.92,0.972222,0.992909
8.93,0.972222,0.993734
8.94,0.972222,0.993804
8.95,0.972222,0.993351
8.96,0.972222,0.993469
8.97,0.972222,0.992498
8.98,0.972222,0.993944
8.99,0.972222,0.992753
9.00,0.972222,0.993528
9.01,0.972222,0.992967
9.02,0.972222,0.992830
9.03,0.972222,0.994162
9.04,0.972222,0.994989
9.05,0.972222,0.993344
9.06,0.972222,0.993602
9.07,0.972222,0.993383
9.08,0.972222,0.993420
9.09,0.972222,0.992578
9.10,0.972222,0.993303
9.11,0.972222,0.993423
9.12,0.972222,0.993926
9.13,0.972222,0.994585
9.14,0.972222,0.993549
9.15,0.972222,0.994553
9.16,0.972222,0.994017
9.17,0.972222,0.993463
9.18,0.972222,0.993643
9.19,0.972222,0.992184
9.20,0.972222,0.990958
9.21,0.972222,0.991604
9.22,0.972222,0.992448
9.23,0.972222,0.992656
9.24,0.972222,0.992513
9.25,0.972222,0.992157
9.26,0.972222,0.992371
9.27,0.972222,0.993300
9.28,0.972222,0.992891
9.29,0.972222,0.993734
9.30,0.972222,0.995185
9.31,0.972222,0.995193
9.32,0.972222,0.993143
9.33,0.972222,0.993454
9.34,0.972222,0.993928
9.35,0.972222,0.994809
9.36,0.972222,0.994905
9.37,0.972222,0.993402
9.38,0.972222,0.992201
9.39,0.972222,0.992437
9.40,0.972222,0.992007
9.41,0.972222,0.990708
9.42,0.972222,0.989773
9.43,0.972222,0.989386
9.44,0.972222,0.987852
9.45,0.972222,0.988606
9.46,0.972222,0.988392
9.47,0.972222,0.989644
9.48,0.972222,0.988354
9.49,0.972222,0.989903
9.50,0.972222,0.989723
9.51,0.972222,0.990507
9.52,0.972222,0.990506
9.53,0.972222,0.989599
9.54,0.972222,0.990110
9.55,0.972222,0.990768
9.56,0.972222,0.989264
9.57,0.972222,0.988365
9.58,0.972222,0.988104
9.59,0.972222,0.988357
9.60,0.972222,0.989095
9.61,0.972222,0.987981
9.62,0.972222,0.989618
9.63,0.972222,0.989563
9.64,0.972222,0.988675
9.65,0.972222,0.990056
9.66,0.972222,0.989905
9.67,0.972222,0.990143
9.68,0.972222,0.989848
9.69,0.972222,0.991291
9.70,0.972222,0.991886
9.71,0.972222,0.991440
9.72,0.972222,0.991259
9.73,0.972222,0.992934
9.74,0.972222,0.993262
9.75,0.972222,0.993436
9.76,0.972222,0.995098
9.77,0.972222,0.995536
9.78,0.972222,0.993349
9.79,0.972222,0.992655
9.80,0.972222,0.992591
9.81,0.972222,0.993073
9.82,0.972222,0.993876
9.83,0.972222,0.994062
9.84,0.972222,0.993531
9.85,0.972222,0.994161
9.86,0.972222,0.993848
9.87,0.972222,0.992048
9.88,0.972222,0.991789
